skills,interests,experience_years,role
python;sql;r,deployment;statistics;data-visualization,0,Data Analyst Intern
sklearn;powerbi;sql,dashboards;reporting,1,ML Engineer Intern
javascript;react;ml;python,research;ui-development,0,ML Engineer Intern
python;docker;excel,reporting;reports,0,DevOps Intern
python;powerbi;excel,dashboards;business-intelligence,0,Business Analyst Intern
excel;pytorch;sql;javascript,dashboards;research;statistics,0,ML Engineer Intern
excel;powerbi;sql,modeling;reporting,1,Business Analyst Intern
python;ml;django;pytorch,machine-learning;reports,2,Deep Learning Engineer Intern
tableau;ci-cd;docker,automation;backend,2,Business Analyst Intern
python;fastapi;sql,apis;backend,2,Backend Developer Intern
python;fastapi;sql,apis;web-design,1,Backend Developer Intern
python;tensorflow;nn,backend;ai,2,ML Engineer Intern
excel;tableau,data-visualization;dashboards,1,Business Analyst Intern
excel;powerbi;sql,dashboards;nlp,2,Business Analyst Intern
python;ml;statistics,machine-learning;research,0,ML Engineer Intern
python;sklearn;javascript,modeling;experimentation;business-intelligence,2,Data Scientist Intern
html;python;react,single-page-apps;frontend,0,ML Engineer Intern
python;tableau;r,data-analysis;statistics,1,Business Analyst Intern
html;css;tensorflow,data-analysis;frontend,1,ML Engineer Intern
javascript;django;html,web-development;backend,2,ML Engineer Intern
html;css;react,nlp;frontend,2,ML Engineer Intern
ml;react;api,reports;ui-development;reporting,0,ML Engineer Intern
git;ci-cd;docker,deployment;infrastructure,1,DevOps Intern
bash;fastapi;sql,etl;backend,2,Backend Developer Intern
python;react;api,frontend;ui-development,1,Frontend Developer Intern
git;ci-cd;docker,automation;deep-learning,0,DevOps Intern
html;css;react;statistics,single-page-apps;frontend,1,Data Scientist Intern
python;tensorflow;nn,infrastructure;ai,3,Deep Learning Engineer Intern
python;sklearn;sql,dashboards;backend,0,Data Scientist Intern
html;css;statistics,single-page-apps;research,1,Data Scientist Intern
python;fastapi;sql,apis;reporting,2,Backend Developer Intern
python;powerbi;excel,dashboards;ui-development;frontend,1,Business Analyst Intern
powerbi;react;api,frontend;deep-learning,1,Frontend Developer Intern
python;fastapi;cnn,computer-vision;deep-learning;machine-learning,2,ML Engineer Intern
python;pytorch;pandas,apis;deep-learning,2,ML Engineer Intern
excel;sql;powerbi,visualization;dashboards,0,Business Analyst Intern
python;pytorch;cnn,backend;deep-learning,1,Deep Learning Engineer Intern
html;powerbi;sql,dashboards;backend,0,Data Scientist Intern
javascript;react;api,business-intelligence;ui-development,1,Frontend Developer Intern
python;tensorflow;aws,machine-learning;ai;research,3,Deep Learning Engineer Intern
linux;docker;bash;css,deployment;devops;infrastructure,1,Frontend Developer Intern
api;css;javascript,dashboards;frontend,1,Frontend Developer Intern
python;sql;nn,data-analysis;statistics,1,Deep Learning Engineer Intern
python;sql;r,data-analysis;statistics,2,Data Analyst Intern
linux;docker;django;linear-algebra,deployment;devops,0,ML Engineer Intern
matplotlib;fastapi;sql;javascript,apis;backend,1,Backend Developer Intern
python;ml;nn,data-analysis;research,1,Deep Learning Engineer Intern
javascript;react;api,reporting;ui-development,1,Frontend Developer Intern
matplotlib;docker;bash;kubernetes,deployment;devops,0,DevOps Intern
fastapi;ci-cd;docker,ui-development;infrastructure,1,Backend Developer Intern
git;tensorflow;docker,automation;dashboards,2,ML Engineer Intern
linux;docker;bash,deployment;devops;deep-learning,2,DevOps Intern
python;flask;statistics,infrastructure;research,1,ML Engineer Intern
html;react,single-page-apps;frontend,1,Data Scientist Intern
python;django;html,infrastructure;backend,1,ML Engineer Intern
python;excel;statistics;git,machine-learning;dashboards;automation,1,Data Scientist Intern
python;sql;excel,data-analysis;single-page-apps,1,Data Scientist Intern
linux;docker;sklearn,deep-learning;ui-development,1,Data Scientist Intern
pandas;r,reports;statistics,1,ML Engineer Intern
python;excel,dashboards;business-intelligence,1,Business Analyst Intern
pytorch;sklearn;linear-algebra,modeling;ai,2,ML Engineer Intern
linear-algebra;ci-cd;docker,business-intelligence;infrastructure,1,Data Scientist Intern
python;ml;statistics,machine-learning;research,0,Data Scientist Intern
powerbi;sql,dashboards;reporting;etl,1,Business Analyst Intern
python;django;html,web-development;backend,2,Data Scientist Intern
html;css;linear-algebra,web-design;frontend,0,Data Scientist Intern
html;css;javascript,web-design;research,0,ML Engineer Intern
python;ml;css,machine-learning;research,2,Data Scientist Intern
python;powerbi;excel,dashboards;reporting,2,Business Analyst Intern
linux;docker;numpy,deployment;devops;experimentation,2,DevOps Intern
excel;pytorch;tableau,deployment;dashboards;business-intelligence,0,Deep Learning Engineer Intern
python;sql;ci-cd,data-analysis;reports,0,Data Analyst Intern
html;css;react,single-page-apps;modeling;machine-learning,1,Data Scientist Intern
javascript;git;api,frontend;ui-development,2,Frontend Developer Intern
python;fastapi;sql,apis;backend,2,Backend Developer Intern
python;sql;numpy,data-analysis;statistics,0,Data Analyst Intern
python;sql;r;django,data-analysis;deep-learning,0,Backend Developer Intern
html;matplotlib;react,devops;frontend,1,Data Scientist Intern
python;fastapi;sql,apis;research,1,Backend Developer Intern
python;r;excel,apis;reports,0,SRE Intern
python;linear-algebra;excel,statistics;reports,0,Data Scientist Intern
git;ci-cd;docker,automation;infrastructure,0,DevOps Intern
linux;ml;statistics;html,visualization;research,0,ML Engineer Intern
git;react;docker,automation;infrastructure,1,Frontend Developer Intern
python;powerbi;excel,dashboards;web-development,2,Business Analyst Intern
javascript;react;api,data-analysis;ui-development;dashboards,0,Frontend Developer Intern
python;fastapi;sql,web-development;infrastructure,1,Backend Developer Intern
python;ml;statistics;linux,machine-learning;research,2,ML Engineer Intern
python;ml;powerbi,experimentation;research,1,ML Engineer Intern
python;tableau;html,deployment;backend,2,Data Scientist Intern
python;fastapi;sql,computer-vision;backend,1,Backend Developer Intern
git;powerbi;excel,dashboards;business-intelligence,0,Business Analyst Intern
git;ci-cd;docker,automation;infrastructure,1,DevOps Intern
excel;powerbi;react,dashboards;reporting,1,Frontend Developer Intern
excel;sql;git,data-visualization;dashboards,0,ML Engineer Intern
python;ml;fastapi;powerbi,web-design;research,1,Data Scientist Intern
python;pytorch;javascript,computer-vision;deep-learning,2,ML Engineer Intern
excel;powerbi;sql,dashboards;reporting,2,Business Analyst Intern
sql;excel,data-analysis;reports,1,Frontend Developer Intern
tensorflow;ci-cd;docker,automation;infrastructure,1,ML Engineer Intern
bash;pytorch;cnn,computer-vision;deep-learning,3,ML Engineer Intern
html;react,research;frontend,0,Data Scientist Intern
python;statistics;sql,apis;backend,1,ML Engineer Intern
python;fastapi;sql,web-design;backend,0,Backend Developer Intern
html;excel;react,single-page-apps;frontend,2,Data Scientist Intern
html;css;flask,single-page-apps;frontend,2,ML Engineer Intern
python;pytorch;cnn,data-analysis;deep-learning,2,ML Engineer Intern
git;numpy;docker;r,machine-learning;infrastructure,1,DevOps Intern
python;pytorch;cnn,computer-vision;data-visualization,1,ML Engineer Intern
fastapi;sql,apis;visualization,1,Backend Developer Intern
python;powerbi;excel,apis;business-intelligence,2,Business Analyst Intern
python;sql;r,apis;statistics,1,Data Analyst Intern
html;css,research;frontend;machine-learning,2,ML Engineer Intern
python;sklearn;linear-algebra,modeling;machine-learning;data-visualization,2,ML Engineer Intern
linear-algebra;sql;tableau,data-visualization;dashboards,2,Data Scientist Intern
git;ci-cd;docker,automation;infrastructure,0,DevOps Intern
html;css;react,apis;frontend;reports,2,Data Scientist Intern
javascript;react;api,reports;ui-development,0,Frontend Developer Intern
python;cnn,computer-vision;deep-learning,1,Deep Learning Engineer Intern
ml;pytorch;cnn,single-page-apps;deep-learning,1,Deep Learning Engineer Intern
nn;ci-cd;docker,automation;infrastructure,0,ML Engineer Intern
linux;docker;bash,automation;devops,1,DevOps Intern
css;javascript,web-design;visualization,1,Frontend Developer Intern
django;ml;statistics,ai;research,2,Data Scientist Intern
linux;docker;bash,deployment;devops;modeling,1,DevOps Intern
pandas;sql;excel,data-analysis;reports,0,Data Analyst Intern
